year,country,mean_number_of_years_in_school
1973,Uruguay,5.55
1973,USA,11.45
1973,Uzbekistan,6.050000000000001
1973,Venezuela,3.6999999999999997
1973,Vietnam,3.95
1973,Vanuatu,2.55
1973,Samoa,5.0
1973,Yemen,0.35
1973,South Africa,3.3499999999999996
1973,Zambia,2.3
1973,Zimbabwe,2.5
1974,Afghanistan,0.45
1974,Angola,1.15
1974,Albania,4.949999999999999
1974,UAE,2.7
1974,Argentina,6.15
1974,Armenia,6.85
1974,Antigua and Barbuda,7.5
1974,Australia,9.0
1974,Austria,8.45
1974,Azerbaijan,6.1
1974,Burundi,0.8500000000000001
1974,Belgium,7.65
1974,Benin,0.7000000000000001
1974,Burkina Faso,0.25
1974,Bangladesh,1.7000000000000002
1974,Bulgaria,7.45
1974,Bahrain,2.2
1974,Bahamas,6.800000000000001
1974,Bosnia and Herzegovina,3.4
1974,Belarus,7.2
1974,Belize,4.6
1974,Bolivia,2.95
1974,Brazil,2.7
1974,Botswana,1.4
1974,Central African Republic,0.9
1974,Canada,9.6
1974,Switzerland,9.25
1974,Chile,6.0
1974,China,2.55
1974,Cote d'Ivoire,0.85
1974,Cameroon,1.4500000000000002
1974,"Congo, Dem. Rep.",2.1
1974,"Congo, Rep.",2.15
1974,Colombia,3.8
1974,Comoros,0.65
1974,Cape Verde,1.05
1974,Costa Rica,4.45
1974,Cuba,6.0
1974,Cyprus,6.3
1974,Czech Republic,10.3
1974,Germany,7.75
1974,Djibouti,1.05
1974,Denmark,9.1
1974,Dominican Republic,3.1
1974,Algeria,0.9
1974,Ecuador,3.85
1974,Egypt,2.2
1974,Eritrea,0.5
1974,Spain,3.25
1974,Estonia,7.0
1974,Ethiopia,0.35
1974,Finland,7.4
1974,Fiji,5.0
1974,France,6.45
1974,Gabon,2.2
1974,UK,9.35
1974,Georgia,8.1
1974,Ghana,2.45
1974,Guinea,0.44999999999999996
1974,Gambia,0.65
1974,Guinea-Bissau,0.45
1974,Equatorial Guinea,2.05
1974,Greece,5.6
1974,Guatemala,1.6
1974,Guyana,4.8
1974,Honduras,2.3
1974,Croatia,4.95
1974,Haiti,1.0
1974,Hungary,7.7
1974,Indonesia,2.3
1974,India,1.75
1974,Ireland,6.800000000000001
1974,Iran,1.75
1974,Iraq,2.65
1974,Israel,8.15
1974,Italy,6.2
1974,Jamaica,5.35
1974,Jordan,2.9000000000000004
1974,Japan,8.95
1974,Kazakhstan,5.75
1974,Kenya,1.95
1974,Kyrgyz Republic,6.0
1974,Cambodia,1.6
1974,Kiribati,3.95
1974,South Korea,7.05
1974,Kuwait,2.35
1974,Lao,1.15
1974,Lebanon,2.8
1974,Liberia,1.1
1974,St. Lucia,5.1
1974,Sri Lanka,4.7
1974,Lesotho,2.5999999999999996
1974,Lithuania,6.0
1974,Luxembourg,6.949999999999999
1974,Latvia,7.15
1974,Morocco,0.8500000000000001
1974,Moldova,6.550000000000001
1974,Madagascar,1.35
1974,Maldives,2.45
1974,Mexico,3.3
1974,Marshall Islands,4.7
1974,North Macedonia,5.25
1974,Mali,0.35
1974,Myanmar,2.05
1974,Montenegro,6.35
1974,Mongolia,5.1
1974,Mozambique,0.75
1974,Mauritania,0.5
1974,Mauritius,2.45
1974,Malawi,1.4500000000000002
1974,Malaysia,3.05
1974,Namibia,2.25
1974,Niger,0.15000000000000002
1974,Nigeria,1.4
1974,Nicaragua,2.4000000000000004
1974,Netherlands,7.4
1974,Norway,7.699999999999999
1974,Nepal,0.65
1974,New Zealand,7.25
1974,Oman,1.35
1974,Pakistan,1.1
1974,Panama,5.25
1974,Peru,4.2
1974,Philippines,5.3
1974,Papua New Guinea,1.2
1974,Poland,8.3
1974,Portugal,3.05
1974,Paraguay,3.8
1974,Palestine,3.1
1974,Qatar,2.4
1974,Romania,6.9
1974,Russia,6.9
1974,Rwanda,1.0
1974,Saudi Arabia,2.0
1974,Sudan,1.1
1974,Senegal,0.65
1974,Singapore,3.45
1974,Solomon Islands,1.75
1974,Sierra Leone,0.65
1974,El Salvador,3.05
1974,Somalia,0.5
1974,Serbia,5.5
1974,Sao Tome and Principe,1.4
1974,Suriname,3.8
1974,Slovak Republic,6.1
1974,Slovenia,5.699999999999999
1974,Sweden,8.0
1974,Eswatini,2.0
1974,Seychelles,4.15
1974,Syria,1.65
1974,Chad,0.39999999999999997
1974,Togo,1.0
1974,Thailand,3.8
1974,Tajikistan,5.8
1974,Turkmenistan,5.800000000000001
1974,Timor-Leste,0.6
1974,Tonga,6.3
1974,Trinidad and Tobago,5.5
1974,Tunisia,1.7
1974,Turkey,2.35
1974,Taiwan,4.1
1974,Tanzania,1.5499999999999998
1974,Uganda,1.7000000000000002
1974,Ukraine,7.75
1974,Uruguay,5.7
1974,USA,11.55
1974,Uzbekistan,6.25
1974,Venezuela,3.8
1974,Vietnam,4.0
1974,Vanuatu,2.65
1974,Samoa,5.1
1974,Yemen,0.39999999999999997
1974,South Africa,3.5
1974,Zambia,2.4
1974,Zimbabwe,2.6
1975,Afghanistan,0.5
1975,Angola,1.15
1975,Albania,5.1
1975,UAE,2.8
1975,Argentina,6.25
1975,Armenia,6.949999999999999
1975,Antigua and Barbuda,7.65
1975,Australia,9.100000000000001
1975,Austria,8.55
1975,Azerbaijan,6.3
1975,Burundi,0.8500000000000001
1975,Belgium,7.8500000000000005
1975,Benin,0.7000000000000001
1975,Burkina Faso,0.25
1975,Bangladesh,1.7000000000000002
1975,Bulgaria,7.6
1975,Bahrain,2.35
1975,Bahamas,6.9
1975,Bosnia and Herzegovina,3.5
1975,Belarus,7.4
1975,Belize,4.7
